"Time","Temp Avg","Temp Low","Temp High","Heat Index","Wind Chill","Temp (Day) Low","Temp (Day) High","Hum Avg","Hum Low","Hum High","Dew Point","Hum (Day) Low","Hum (Day) High","Baro Avg","Baro Low","Baro High","Baro (Day) Low","Baro (Day) High","Windspeed","Wind Direction","Gust","Gust Direction","Gust (Day) Max","Gust (Day) Direction","Leaf Wetness (Minutes)","Leaf Wetness (Day)","Solar Radiation Avg","Solar Radiation Sum (Interval)","Solar Radiation Sum (Day)","Interval Precip","Day Precip","Inside Temp Avg","Inside Temp Low","Inside Temp High","Inside Temp (Day) Low","Inside Temp (Day) High","Station Voltage","UV Index"
"2021-07-18 01:16:00","68.3","68.2","68.4","68.3","68.3","67.7","68.9","84","84","84","63.3","81","84","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","67.9","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:17:00","68.2","68.2","68.2","68.2","68.2","67.7","68.9","84","84","84","63.2","81","84","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 01:18:00","68.2","68.2","68.2","68.2","68.2","67.7","68.9","84","84","84","63.2","81","84","30.10","30.11","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 01:19:00","68.2","68.2","68.2","68.2","68.2","67.7","68.9","84","84","84","63.2","81","84","30.11","30.11","30.11","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 01:20:00","68.2","68.2","68.2","68.2","68.2","67.7","68.9","84","84","84","63.2","81","84","30.10","30.11","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 01:21:00","68.1","68.0","68.2","68.1","68.1","67.7","68.9","84","84","84","63.1","81","84","30.10","30.11","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 01:22:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","84","84","84","63.0","81","84","30.10","30.11","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","68.0","68.0","68.0","65.0","68.0","6.6",
"2021-07-18 01:23:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","84","84","84","63.0","81","84","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:24:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","84","84","84","63.0","81","84","30.10","30.10","30.10","30.10","30.12","0.0","360","1.1","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:25:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","84","84","85","63.0","81","85","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","67.0","67.0","67.0","65.0","68.0","6.6",
"2021-07-18 01:26:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","85","85","85","63.3","81","85","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:27:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","85","85","85","63.3","81","85","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:28:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","85","85","85","63.3","81","85","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
"2021-07-18 01:29:00","68.0","68.0","68.0","68.0","68.0","67.7","68.9","85","85","85","63.3","81","85","30.10","30.10","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","65.0","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 01:30:00","67.9","67.9","68.0","67.9","67.9","67.7","68.9","85","85","85","63.2","81","85","30.10","30.11","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","65.9","65.0","65.0","65.0","68.0","6.6",
"2021-07-18 01:31:00","67.9","67.9","67.9","67.9","67.9","67.7","68.9","85","85","85","63.2","81","85","30.10","30.11","30.10","30.10","30.12","0.0","360","0.0","22","2.2","22",,,,,,"0.00","0.00","66.0","66.0","66.0","65.0","68.0","6.6",
